input,output
"Tell sir #include <stdio.h> struct jobs{ int weight; int profit; float pi; }; int main() { struct jobs work[100],copy[100],temp[100]; int i,n,w,j,sum,flag,profit; printf(""Enter the number of jobs""); scanf(""%d"",&n); work[n],copy[n]; int soln[n]; printf(""Enter the jobs weight and profit""); for(i=0;i<n;i++){ printf(""Enter details of job %d"",i+1); printf(""\nWEIGHT""); scanf(""%d"",&work[i].weight); printf(""\nPROFIT\n""); scanf(""%d"",&work[i].profit); work[i].pi = (float)work[i].profit/work[i].weight; copy[i] = work[i]; } printf(""Enter the weight constraint ""); scanf(""%d"",&w); printf("" Weight      Profit      Ratio\n""); for(i=0;i<n;i++){ printf(""%d       %d        %f\n"",copy[i].weight,copy[i].profit,copy[i].pi); } for(i=0;i<n;i++){ for(j= 0;j<n-1-i;j++){ if(copy[j].pi<copy[j+1].pi){ temp[j]=copy[j]; copy[j]=copy[j+1]; copy[j+1]=temp[j]; } } } printf(""\n\n Weight      Profit      Ratio\n""); for(i=0;i<n;i++){ printf(""%d       %d        %f\n"",copy[i].weight,copy[i].profit,copy[i].pi); } for(i=0;i<n;i++){ if(sum+copy[i].weight<=w){ soln[i]=1; w -=copy[i].weight; sum +=copy[i].weight; profit +=copy[i].profit; } else if(copy[i].weight>w) sum += (float) w/copy[i].weight; else soln[i]=0; } printf(""%d "",profit); return 0; } https://www.indiabix.com/logical-reasoning/questions-and-answers/","#include <stdio.h> struct bag { int weight,profit; float profit_per_weight; }; struct bag things[10]; // void swap1(float *a, float *b) { //     float temp = *a; //     *a = *b; //     *b = temp; // } // void swap2(int *a, int *b) { //     int temp = *a; //     *a = *b; //     *b = temp; // } int main() { int i,j,total_weight_constraint,n,remaining_weight = 0,b; float solution_set[10],total_profit,a; printf(""Enter total number of elements in problem : ""); scanf(""%d"",&n); printf(""Enter the weight and profit of the items\n""); //take input for(i = 0;i < n;i ++) { printf(""Enter weight : ""); scanf(""%d"",&things[i].weight); printf(""Enter profit : ""); scanf(""%d"",&things[i].profit); things[i].profit_per_weight = (float)things[i].profit / things[i].weight; } printf(""Enter the total weight constraint for the problem : ""); scanf(""%d"",&total_weight_constraint); remaining_weight = total_weight_constraint; //print given Knapsack printf(""\n\nThe given Knapsack problem is : \n""); for(i = 0;i < n;i ++) { printf(""%d\t%d\n"",things[i].weight,things[i].profit); } //sort in decending order for(i = 0;i < n;i ++) { for(j = i + 1;j < n;j ++) { if(things[i].profit_per_weight < things[j].profit_per_weight) { a = things[i].profit_per_weight; things[i].profit_per_weight = things[j].profit_per_weight; things[j].profit_per_weight = a; b = things[i].weight; things[i].weight = things[j].weight; things[j].weight = b; b = things[i].profit; things[i].profit = things[j].profit; things[j].profit = b; } } } printf(""\n\nThe given Knapsack problem is : \n""); for(i = 0;i < n;i ++) { printf(""%d\t%d\t%f\n"",things[i].weight,things[i].profit,things[i].profit_per_weight); } //solution set for(i = 0;i < n;i ++) { if(things[i].weight < remaining_weight) { solution_set[i] = 1; remaining_weight -= things[i].weight; total_profit += things[i].profit; } else if(things[i].weight > remaining_weight) { solution_set[i] = (float)remaining_weight / things[i].weight; total_profit += (float)remaining_weight * things[i].profit_per_weight; break; } else { solution_set[i] = 0; } } //print solution set printf(""\n\n\nThe solution set is : ""); for(i = 0;i < n;i ++) { printf(""%f\n"",solution_set[i]); } printf("":Total profit is : %f"",total_profit); return 0; }"
"This message was deleted This message was deleted This message was deleted #include <stdio.h> struct jobs{ int weight; int profit; float pi; }; int main() { struct jobs work[100],copy[100],temp[100]; int i,n,w,j,flag,sum; float profit; printf(""Enter the number of jobs""); scanf(""%d"",&n); work[n],copy[n]; float soln[n]; //Enther the jab details printf(""Enter the jobs weight and profit""); for(i=0;i<n;i++){ printf(""Enter details of job %d"",i+1); printf(""\nWEIGHT\n""); scanf(""%d"",&work[i].weight); printf(""PROFIT\n""); scanf(""%d"",&work[i].profit); work[i].pi = (float)work[i].profit/work[i].weight; copy[i] = work[i]; } //Enther the jab constraint printf(""Enter the weight constraint ""); scanf(""%d"",&w); // to print the jab list printf(""Weight\tProfit\tRatio\n""); for(i=0;i<n;i++){ printf(""%d\t%d\t%f\n"",copy[i].weight,copy[i].profit,copy[i].pi); } //sort the jab list for(i=0;i<n;i++){ for(j= 0;j<n-1-i;j++){ if(copy[j].pi<copy[j+1].pi){ temp[j]=copy[j]; copy[j]=copy[j+1]; copy[j+1]=temp[j]; } } } //to print the sorted jab list printf(""\n\nWeight\tProfit\tRatio\n""); for(i=0;i<n;i++){ printf(""%d\t%d\t%f\n"",copy[i].weight,copy[i].profit,copy[i].pi); } // to find the maximum profit for(i=0;i<n;i++){ //if jab weight is greater than the limit weight if(copy[i].weight<w && w!= 0){ soln[i]=1; w -=copy[i].weight; sum +=copy[i].weight; profit +=copy[i].profit; } // if the jab weight is less than the required limit jab weight else if(copy[i].weight>w && w!= 0){ sum += (float) copy[i].weight/copy[i].profit; profit += (float) w*copy[i].pi; soln[i]=(float) w/copy[i].weight; w =0; } //When the Constraint is foul put aal the the remaaing jobs as ""shunya"" in the selusion set else{ soln[i]=0; printf(""\n%d"",w); } } //PROFIT printf(""\nProfit = %.3f "",profit); //SOLUTION printf(""\n Solution Set = ""); for(i=0;i<n;i++){ printf(""|%.3f"",soln[i]); } return 0; } Brain nasty combing fire breathing knapsack program #include <stdio.h> struct jobs{ int weight; int profit; float pi; }; int main() { struct jobs work[100],copy[100],temp[100]; int i,n,w,j,flag,sum; float profit; printf(""Enter the number of jobs""); scanf(""%d"",&n); work[n],copy[n]; float soln[n]; printf(""Enter the jobs weight and profit""); for(i=0;i<n;i++){ printf(""Enter details of job %d"",i+1); printf(""\nWEIGHT\n""); scanf(""%d"",&work[i].weight); printf(""PROFIT\n""); scanf(""%d"",&work[i].profit); work[i].pi = (float)work[i].profit/work[i].weight; copy[i] = work[i]; } printf(""Enter the weight constraint ""); scanf(""%d"",&w); printf(""Weight\tProfit\tRatio\n""); for(i=0;i<n;i++){ printf(""%d\t%d\t%f\n"",copy[i].weight,copy[i].profit,copy[i].pi); } for(i=0;i<n;i++){ for(j= 0;j<n-1-i;j++){ if(copy[j].pi<copy[j+1].pi){ temp[j]=copy[j]; copy[j]=copy[j+1]; copy[j+1]=temp[j]; } } } printf(""\n\nWeight\tProfit\tRatio\n""); for(i=0;i<n;i++){ printf(""%d\t%d\t%f\n"",copy[i].weight,copy[i].profit,copy[i].pi); } for(i=0;i<n;i++){ if(copy[i].weight<w && w!= 0){ soln[i]=1; w -=copy[i].weight; sum +=copy[i].weight; profit +=copy[i].profit; } else if(copy[i].weight>w && w!= 0){ sum += (float) copy[i].weight/copy[i].profit; profit += (float) w*copy[i].pi; soln[i]=(float) w/copy[i].weight; w =0; } else{ soln[i]=0; printf(""\n%d"",w); } } printf(""\nProfit = %.3f "",profit); printf(""\n Solution Set = ""); for(i=0;i<n;i++){ printf(""|%.3f"",soln[i]); } return 0; } NORMAL KNAPSACK PROGRAM",Ajj lecture hoga na?
"haaa timetable me to hai #include <stdio.h> struct jobs{ int weight; int profit; float pi; float soln; }; int main() { struct jobs work[100],copy[100],temp[100]; int i,n,w,j,flag,sum; float profit; printf(""Enter the number of jobs:""); scanf(""%d"",&n); work[n],copy[n]; float soln[n]; printf(""Enter the jobs weight and profit:""); for(i=0;i<n;i++){ printf(""Enter details of job %d"",i+1); printf(""\nWEIGHT:""); scanf(""%d"",&work[i].weight); printf(""PROFIT:""); scanf(""%d"",&work[i].profit); work[i].pi = (float)work[i].profit/work[i].weight; copy[i] = work[i]; } printf(""Enter the weight constraint: ""); scanf(""%d"",&w); printf(""\nJob table:""); printf(""\nWeight\tProfit\tRatio\n""); for(i=0;i<n;i++){ printf(""%d\t%d\t%f\n"",copy[i].weight,copy[i].profit,copy[i].pi); } for(i=0;i<n;i++){ for(j= 0;j<n-1-i;j++){ if(copy[j].pi<copy[j+1].pi){ temp[j]=copy[j]; copy[j]=copy[j+1]; copy[j+1]=temp[j]; } } } printf(""\nTable after Sorting the jobs""); printf(""\nWeight\tProfit\tRatio\n""); for(i=0;i<n;i++){ printf(""%d\t%d\t%f\n"",copy[i].weight,copy[i].profit,copy[i].pi); } for(i=0;i<n;i++){ if(copy[i].weight<w && w!= 0){ soln[i]=1; w -=copy[i].weight; sum +=copy[i].weight; profit +=copy[i].profit; } else if(copy[i].weight>w && w!= 0){ sum += (float) copy[i].weight/copy[i].profit; profit += (float) w*copy[i].pi; soln[i]=(float) w/copy[i].weight; w =0; } else{ soln[i]=0; printf(""\n%d"",w); } } for(i=0;i<n;i++){ for(j=0;j<n;j++){ if(work[i].profit==copy[j].profit){ work[i].soln=soln[j]; } } } printf(""\nFinal solutution table:""); printf(""\nWeight\tProfit\tRatio\t\tSoln\n""); for(i=0;i<n;i++){ printf(""%d\t%d\t%f\t%f\n"",work[i].weight,work[i].profit,work[i].pi,work[i].soln); } printf(""\nProfit = %.3f "",profit); printf(""\n Solution Set = ""); for(i=0;i<n;i++){ printf(""|%.3f"",work[i].soln); } return 0; } try this program",kiske barebe sir baat kar rahe the? 500-1000?
Nptel,acha
Haaa,jane de phir
Aur Mai gdsc ka puch raha tha,ha tu bol raha da na
Haaaa,Maths tutorial 2 ka solution bhej na
2 ka kyu ?,He kya tere pas pdf?
Nikalna padega,Rehene de phir
Oki,Python ka assignment likha kya?
Nahi Pages nahi hai 9 baje aaa,Ha koshish karta hu
Hua kya sum ?,nahi kiya mene sum python kar raha hu
assignment ?,ha
maine khareeda hi nahi papers marJAVA your face and your reaction dont resemble each other,ha mil nahi raha he
ha,me dar  gaya
kyu,how did you hacked my web camera then realised zoom
😂😂 Ameeeey Abhi meeting rakha hai ???? Mai bahar hu bhai,Chalega Matt aa phir
Are ?? Chalega ? Mai kya Karu fir Program ka part,Are join if you can or will just put you in a part later
Mere liye rakhna Kuch,Thekte he
"Okk Chalse #include <stdio.h> #include <string.h> int main() { int i,j,a,b,flag = 1; char s[100]; printf(""Enter string:""); gets(s); int len= strlen(s); printf(""%d\n"",len); puts(s); for(i=0;i<len;i++){ if(s[i]==' '){ for(j=i;j<len;j++){ s[j]=s[j+1]; } } } a = 65; b = 97; while(a < 91, b < 123) { for(i=0;i<len;i++){ if((s[i]==(char)a) || (s[i] == (char)b)) { flag = 1; break; } else { flag = 0; } } a ++; b ++; } if(flag == 1){ printf(""String is devansh""); } else { printf(""String is not devansh""); } printf(""\n%s"",s); return 0; } PANGRAM 217 https://meet.google.com/juo-edce-ipf join kar",sir aye he nahi na? mene sir ko message karke rakha he
Nahi ayee,FE bhe ageye?
Haaa,Resident evil?
Naa I told you about it yesterday,Dont remember 😅
Assassin's creed,That's asssin's creed?
Yaa Assassin's creed brotherhood,I thought I was the mission from resident evil
There are two parts Future and past,I see
That's future,Cool
Yeah https://www.instagram.com/reel/C4QnEuNNoop/?igsh=YWJ4cmd6cXM0aG90 Check his account For questions https://www.instagram.com/reel/C3f4C-stkzK/?igsh=bGEwZ3NoazB2eHRj His too,10.30 karte he. Mujhe late hogaya uthene. Sorry
Chalse,10.30 dadar
Ok,Me likle gayo
Me pan It took me an hour to take out all the juice,I thought it was vorn *corn
This full vati Now we have this much 👽,Cool Don't burn the house
Roger that,That would be enough Is that the serup or you gonna make it?
It's just the juice I made the sugar syrup I'll have to let it cool and then mix them Amey popat Green wala,Kya hua?
Mirchi khane wala popat,😂😂
Ha😂,For some reason I am energetic than any other day
I'm tired,Bemar he na
I don't wanna sit for sky Ya my throat is hurting,Thekle agar bohot jyada ho Raha hoga to mat bhet. Varna SKY se acha lagega
Haaaa,Haaaaaaaa
Haa,Haaaa pranit ne bheja he
Yep this is it Amey Kya boli mam  ?,Not sure Treat it as normal working day
"Mam boli ? Alright Thank you to bol deta #include <stdio.h> struct graph { int edge_weight,source,destination; }; struct graph node[10],temp; int main(){ int n,i,j; printf(""Enter total number of edges in graph : ""); scanf(""%d"",&n); printf(""Enter all the edges of the graph along with their weight, source and destination \n""); for(i = 0;i < n;i ++) { printf(""Enter the weight of %d edge : "",i + 1); scanf(""%d"",&node[i].edge_weight); printf(""Enter the source of %d edge : "",i + 1); scanf(""%d"",&node[i].source); printf(""Enter the destination of %d edge : "",i + 1); scanf(""%d"",&node[i].destination); printf(""______________________________________\n""); } for(i = 0;i < n;i ++) { for(j = i + 1;j < n;j ++) { if(node[i].edge_weight > node[j].edge_weight) { temp = node[i]; node[i] = node[j]; node[j] = temp; } } } for(i = 0;i < n;i ++) { printf(""Source : %d\tWeight : %d\tDestination : %d\n"",node[i].source,node[i].edge_weight,node[i].destination); } return 0; }",Arleccheno ka drop marketing dekha?
Haa Amey Meeting join kar Mera program dekhte hai,Sai hena Bhai ko leke ana he
Haaaa Cool hai Acha thikke,Phir ghaneko leke anahe
Acha thikke,More 40 days
Lecture haina aaj,She will be out when we have exams right? Ho
Probably * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * write a program to print this pattern,"public class Main { public static void main(String[] args) { //7 int i,j,k = 0; while(k < 30) { for( i = 0;i < 7;i ++) { for( j = 0;j < i;j ++) { System.out.print("" ""); } System.out.println(""*""); } for( i = 6;i > -1;i --) { for( j = 0;j < i;j ++) { System.out.print("" ""); } System.out.println(""*""); } k ++; } } }"
Nice Kal Jana haina Subah,Kaha?
Buzines,Time?
Let's mee at 10 dadar Meet,Daba?
Dadar We'll keep at my home Come to my place then,Yaa Will call you when I get to lowerparel
Yep,I will be at your place at around 9-9.30 Will let you know
Alright Bring small packets of chaat masala laal mirch and namak,null Tu likal neke baad call kar Me bhi likalta hu station ke liye Phir dono atehe mere ghar
Ha,Ghar pohochaneke baad call karna Phir sir ko call karke boltehe
Phovhkaya,?? Call karna he?
Pohochgaya Khana khane d bhaiya,Chalega
Haa Solo ?,nahi you think a ar55 non-whale account can solo with furina? you will need c6 for that
Ohhh What was the team,First half - Raiden xq Bennet xl Second half - Navia furina fishcl gmc It was really fun tho I might have gotten 3stars in floor12 if my fishcl and gmc were not death
alright ohhhh,Yaa I only got 2 stars
alright,maza kar ajj web me
Maja aaya Jitna Gyan college ke seminar me nahi milta inhone ded ghante me Dr diya Mast hai,Acha kal me bhe thekta hu
Haaaa,College he kal?
Pata nhi Mai to nhi aara,Chalega
Haa Harshit ne bol Diya nahi hai matlab nahi hai See this,Kya hua?
The above emoji string is a palindrome Almost if not for 1 emoji,Woah idk what to say
I noticed it just now,Yaa You are gonna go today right? Will have to ask for address at jogeshwari as well
Haaaaa,You deleted this message You deleted this message
What is this error,Idk what's the program? Maybe you didn't put class name right
Hotel menu card I did It's only showing there,Code send kar
"v import java.util.ArrayList; import java.util.Map; import java.util.HashMap; import java.util.Scanner; public class HotelManagement{ public static void main(String[] args){ Map<Integer,HotelMenucard> menucard = new HashMap<>(); Scanner sc = new Scanner(System.in); menucard.put(1,new HotelMenucard(""Schezwan Rice"",100.0D,1)); menucard.put(2,new HotelMenucard(""Pulao"",80.0D,1)); menucard.put(3,new HotelMenucard(""Paneer Masala"",150.0D,1)); menucard.put(4,new HotelMenucard(""Veg Biryani"",200.0D,1)); menucard.put(5,new HotelMenucard(""Tandoori Roti"",80.0D,1)); menucard.put(6,new HotelMenucard(""Roomali Roti"",70.0D,1)); ArrayList<HotelMenucard> order = new ArrayList(); double finalbill= 0.0D; boolean flag = true; System.out.println(""Welcome to our restraunt""); while(flag){ System.out.println(""Here is our menu card""); System.out.println(""Dish name\t Per quantity price""); for(Integer val : menucard.keySet()){ System.out.println(val+"". ""+menucard.get(val).name+""   ""+menucard.get(val).price+""INR""); } System.out.println(""\nKindly place your order""); System.out.println(""Dish number""); int choice = sc.nextInt(); System.out.println(""Enter quantity""); int quant = sc.nextInt(); order.add(new HotelMenucard(menucard.get(choice).name,menucard.get(choice).price,quant)); System.out.println(""Enter 1 to continue ordering and 0 to exit""); int des = sc.nextInt(); if(des==1) flag=true; else flag=false; } int size = order.size(); System.out.println(""Your Order: ""); for(int i=0; i < size;i++){ double bill = order(i).price * order(i).quantity; double gst = (10/bill)*100; double billa = bill+gst; finalbill +=billa; System.out.println(i+1+"".)""+order(i).name+"" ""+order(i).price+"" ""+order(i).quantity+"" ""+bill+"" ""+billa); } System.out.println(""your final bill is ""+finalbill); System.out.println(""BYEEEEEEEEEEEEE""); } } public class HotelMenucard{ String name; double price; int quantity; public HotelMenucard(String name, double price, int quantity){ this.name=name; this.price=price; this.quantity=quantity; } }","import java.util.ArrayList; import java.util.Map; import java.util.HashMap; import java.util.Scanner; public class HotelManagement{ public static void main(String[] args){ Map<Integer,HotelMenucard> menucard = new HashMap<>(); Scanner sc = new Scanner(System.in); menucard.put(1,new HotelMenucard(""Schezwan Rice"",100.0D,1)); menucard.put(2,new HotelMenucard(""Pulao"",80.0D,1)); menucard.put(3,new HotelMenucard(""Paneer Masala"",150.0D,1)); menucard.put(4,new HotelMenucard(""Veg Biryani"",200.0D,1)); menucard.put(5,new HotelMenucard(""Tandoori Roti"",80.0D,1)); menucard.put(6,new HotelMenucard(""Roomali Roti"",70.0D,1)); ArrayList<HotelMenucard> order = new ArrayList(); double finalbill= 0.0D; boolean flag = true; System.out.println(""Welcome to our restraunt""); while(flag){ System.out.println(""Here is our menu card""); System.out.println(""Dish name\t Per quantity price""); for(Integer val : menucard.keySet()){ System.out.println(val+"". ""+menucard.get(val).name+""   ""+menucard.get(val).price+""INR""); } System.out.println(""\nKindly place your order""); System.out.println(""Dish number""); int choice = sc.nextInt(); System.out.println(""Enter quantity""); int quant = sc.nextInt(); order.add(new HotelMenucard(menucard.get(choice).name,menucard.get(choice).price,quant)); System.out.println(""Enter 1 to continue ordering and 0 to exit""); int des = sc.nextInt(); if(des==1) flag=true; else flag=false; } int size = order.size(); System.out.println(""Your Order: ""); for(int i=0; i < size;i++){ double bill = order.get(i).price * order.get(i).quantity; double gst = (10/bill)*100; double billa = bill+gst; finalbill +=billa; System.out.println(i+1+"".)""+order.get(i).name+"" ""+order.get(i).price+"" ""+order.get(i).quantity+"" ""+bill+"" ""+billa); } System.out.println(""your final bill is ""+finalbill); System.out.println(""BYEEEEEEEEEEEEE""); } } use order.get(I).price"
Ohhh I didn't use get,yaa
Alright Thanks,Join kar devansh
Call kar deta Soya tha mai,Mujhe laga you didn't wanted to sit for residue
I was sleeping Is sir still taking?,Koi nahi. Sir taylor aur Laurent series le rahe he
Ohkk Sir kuch bole ?,Kuch nahi
Okk Sir ne java liya ?,No
Alright Kar raha hai robotics?,nahi
"Okk import java.util.Scanner; public class Main { public static void main(String[] args) { int[] array; Scanner sc = new Scanner(System.in); System.out.print(""Enter the size of the array:""); int size = sc.nextInt(); array = new int[size]; for(int i=0;i<size;i++){ System.out.print(""ENter the elements of the array:""); array[i]=sc.nextInt(); } int count=0,temp=0,i; for(int key : array){ temp =0; while(key!=0){ key = key/10; temp++; } if(temp%2 == 0) count++; } System.out.println(""The number of even number in the array is ""+count); } }","#include <stdio.h> int main() { int row, col; printf(""Enter the Row and Column of the matrix:\n""); scanf(""%d"",&row); scanf(""%d"",&col); int allocation[row][col], max[row][col], available[col]; printf(""Enter the Allocation matrix:\n""); for(int i=0;i<row;i++) for(int j=0;j<col;j++) scanf(""%d"",&allocation[i][j]); printf(""Allocation matrix:\n""); for(int i=0;i<row;i++){ for(int j=0;j<col;j++) printf(""%d\t"",allocation[i][j]); printf(""\n""); } printf(""___________________________________\n""); printf(""Enter the Max matrix:""); for(int i=0;i<row;i++) for(int j=0;j<col;j++) scanf(""%d"",&max[i][j]); printf(""Max matrix:\n""); for(int i=0;i<row;i++){ for(int j=0;j<col;j++) printf(""%d\t"",max[i][j]); printf(""\n""); } printf(""___________________________________\n""); printf(""Enter the Available matrix:""); for(int i=0;i<row;i++){ scanf(""%d"",&available[i]); } printf(""The available matrix is : \n""); for(int i = 0;i < col; i ++) printf(""%d\t"",available[i]); printf(""\n""); printf(""___________________________________\n""); int need[row][col]; int safe_sequence[row]; printf(""Banker's Algorithm\n""); // findNeedMatrix(max, allocation, need, n, m); // safetyAlgorithm(max, allocation, available, need, safe_sequence, n, m); for(int i = 0;i < row; i ++) for(int j = 0;j < col;j ++) need[i][j] =max[i][j] - allocation[i][j]; printf(""___________________________________\n""); printf(""The need matrix is : \n""); for(int i = 0;i < row; i ++) { for(int j = 0;j < col;j ++) printf(""%d\t"",need[i][j]); printf(""\n""); } int check_if_safe[row], a = -1; for(int i = 0;i < 10;i ++) check_if_safe[i] = 0; //we use k to iterate and check the check_if_safe to backtrack for(int k = 0; k < row; k ++) //simply for processes for(int i = 0; i < row; i ++) if(check_if_safe[i] == 0) { int flag = 0; //to check  types of resources for(int j = 0; j < col; j ++) { printf(""___________________________________\n""); printf(""Need : %d && i = %d j = %d\t"",need[i][j],i,j); printf(""available : %d && i = %d j = %d\n"",available[j],i,j); if(need[i][j] > available[j]) { flag = 1; break; } } printf(""Flag for process%d is %d\n"",i,flag); //if safe do this or else skip if(flag == 0) { safe_sequence[++ a] = i; for (int j = 0; j < col; j ++) available[j] += allocation[i][j]; check_if_safe[i] = 1; } } printf(""___________________________________\n""); int flag = 0; for(int i = 0; i < row;i ++) if(check_if_safe[i] == 0) { flag = 1; printf(""The Given system is not in safe state""); break; } if(flag == 0) { printf(""The System is in safe state\nThe safe sequence is  : ""); for(int i = 0; i < row; i ++) { if(i == row - 1) printf(""Process%d "",safe_sequence[i]); else printf(""Process%d --> "",safe_sequence[i]); } } return 0; }"
Python ka bhej,mujhe nahi lakta mene save kiya tha
You didn't ? I have your program,vohi bollu kaha gaya mera program
haaaa,are waaa
SQL wala was pain in the ass,great work konsa sq?
Yeah Python me sql,ahh yaa vishal was struggling too when we went to check my assignment
Yeah,did you completed it ??
Haaaa,saire
I deleted the same table 10 times to get it right,kal bata mujhe
I didn't take an ss,me abhi jatahu khana khane output?
Haaaa Ya that i have,abhi lecture hua
Haaaa,no ss but output? copy paste?
Only table Ss,chalega chal phir
Yaaa,kal miltehe
Chal Haaa,writeup likha?
Nahi,likha raha he?
Likhne baithungA,chalega
Ha,konsa konsa likhana he?
6 and 8,DB in python and?
Stack queue,chalega 7th? gui/
That's django,acha
5th I think,chalega
Haaa,theklenge chal phir
Haaa,bye bye
Hachal Bye,python ka experiment list he kya?
Nhi Aur mere paas pen nahi hai likhne,mujhe de Diya na?
haa i forgot to buy new one,Sir nahi rahe *aaa rahe
https://expensetracker23032024.netlify.app/,Ye kyu bheja he?
aise hi,ho gaya bohot easy tha
Ho gaya ?,Ohhh mene save nahi Kiya 🤦‍♂️🤦‍♂️
Program save nahi kiya ?,Haa 🤦‍♂️ Abhe tune pucha to yaad aaya Save he nahi kiya Abhi nahi kar raha me Lekin abhe samaj Gaya na
Haaa Mai karta hu aaj Tu Jaya question nikal,Naya? 😂 Bhej ta hu me badme
Haaaa,"kijiye, kijiye na"
Ye kya hai bhai 👽,Left side me question he
"Ha dekha Samjha kya karna hai import java.util.ArrayList; import java.util.Map; import java.util.HashMap; import java.util.Scanner; public class HotelManagement{ public static void main(String[] args){ Map<Integer,HotelMenucard> menucard = new HashMap<>(); Scanner sc = new Scanner(System.in); menucard.put(1,new HotelMenucard(""Schezwan Rice"",100.0D,1)); menucard.put(2,new HotelMenucard(""Pulao"",80.0D,1)); menucard.put(3,new HotelMenucard(""Paneer Masala"",150.0D,1)); menucard.put(4,new HotelMenucard(""Veg Biryani"",200.0D,1)); menucard.put(5,new HotelMenucard(""Tandoori Roti"",80.0D,1)); menucard.put(6,new HotelMenucard(""Roomali Roti"",70.0D,1)); ArrayList<HotelMenucard> order = new ArrayList(); double finalbill= 0.0D; boolean flag = true; System.out.println(""Welcome to our restraunt""); while(flag){ System.out.println(""Here is our menu card""); System.out.println(""Dish name\t Per quantity price""); for(Integer val : menucard.keySet()){ System.out.println(val+"". ""+menucard.get(val).name+""   ""+menucard.get(val).price+""INR""); } System.out.println(""\nKindly place your order""); System.out.println(""Dish number""); int choice = sc.nextInt(); System.out.println(""Enter quantity""); int quant = sc.nextInt(); order.add(new HotelMenucard(menucard.get(choice).name,menucard.get(choice).price,quant)); System.out.println(""Enter 1 to continue ordering and 0 to exit""); int des = sc.nextInt(); if(des==1) flag=true; else flag=false; } int size = order.size(); System.out.println(""Your Order: ""); for(int i=0; i < size;i++){ double bill = order.get(i).price * order.get(i).quantity; double gst = (10/bill)*100; double billa = bill+gst; finalbill +=billa; System.out.println(""ORDER NAME\tPER PIECE\tQUANTITY\tTOTAL\tAMT TO PAY""); System.out.println(i+1+"".)""+order.get(i).name+""\t""+order.get(i).price+""\t""+order.get(i).quantity+""\t""+bill+""\t""+billa); } System.out.println(""Your final Bill is ""+finalbill); System.out.println(""BYEEEEEEEEEEEEE""); } } public class HotelMenucard{ String name; double price; int quantity; public HotelMenucard(String name, double price, int quantity){ this.name=name; this.price=price; this.quantity=quantity; } } make two different files Ho gaya what is this error",are waaa I have not used math just search the error
Then ? I did kuch mil nahi raha If else lagake karna padega fir,thek  le
"Haa class Solution { public static int trap(int[] elevationLevel, int finale) { int holes = 0,dada=0; for (int i = 1; i < finale - 1; i++){ int left = elevationLevel[i]; for (int j = 0; j < i; j++){ if(left<elevationLevel[j]) left=elevationLevel[j]; } int right = elevationLevel[i]; for (int j = i + 1; j < finale; j++){ if(right<elevationLevel[j]) right=elevationLevel[j]; } if(left<right) dada=left; else dada=right; holes += dada - elevationLevel[i]; } return holes; } public static void main(String[] args){ Scanner sc = new Scanner(System.in); int[] elevationLevel ={0,1,0,2,1,0,1,3,2,1,2,1}; int finale = elevationLevel.length; int ret = new Solution().trap(elevationLevel, finale); System.out.print(ret); } } I downloaded the hardest romhack of pokemon x and this is the first encounter I get and I killed all of them",Lag free?
Yeah It's ok pc On,I see
Yeah It's Pokemon ancestral x look at wulfrics team 😨,sai chal raha he tera holi
diantha and az im dead,you downloaded a spreadsheet for the game?
It came with the game,the game is that hard that the creator gave spreadsheet? good luck buddy
I lost to the first gym 3 times She has 6 Pokemon with 15 and 16 levels And my 4 were 20!!,have fun
Their moveset is just nuts,it is strategic game when you download a modded pokemon game not just unga bunga
Ya I got to know that now Well there's a plus,the hard way
We can buy rare candys,"""buy"" not even free"
It's 10 pokemoney,you are lucky the game doesnt have lvl cap
Yeah,how much it is sold for?
10 money And the lumious city is so hard to navigate,Sadly it is not infinite moneh
Wouldn't that make the game easy,Yaa it would
Kabhi to phone uthaya kar Mai Aaj nahi join kar raha Bahar hu Sir ko boldena,Me bhe Me dhekta hu join Kiya to Kiya Sir ko bool dunga travel kar raha hu
Okk Mai to nhi kar raha,Thik he
Boldena sir ko Ha,Are agar mene call utha Diya to tujhe pareshani kese hoge? Pareshani hona chahiye
Sale,😂
Kamine,😂😂
😂 Amey Bhosle Wo lost sorted haina Array,Haa re
"Wo question ka naam kya hai ? import java.util.Scanner; public class Main { public static int binSearch(int[] a, int low, int high, int ele){ int mid; while(low<=high){ mid=low+high/2; if(ele==a[mid]) return mid; else if(ele>a[mid]) low=mid+1; else high=mid-1; } return -1; } public static int infiniteSearch(int[] array, int a){ int l=0,h=1; while(array[h]<a){ l=h; h=2*h; } return binSearch(array,l,h,a); } public static void main(String[] args){ Scanner sc = new Scanner(System.in); int[] array = {2,5,8,10,23,45,67,89,223,456,789,1234,1235,12346,12347,12348,12349,123490}; System.out.println(""Enter the element you want to find""); int ele = sc.nextInt(); int found = infiniteSearch(array,ele); if(found==-1) System.out.println(""Element not found""); else System.out.println(""Element found ""+array[found]+"" at index ""+found); } }",Lost? Saire logic barabar he. Even finding of end element
kya?? mai submit kaise karu leetcode me question number hi pata nhi mere laptop pe ho raha hai Make me a ui design for expense tracker,It's from gfg What all do you need on the website? Tell me the details on what the website does?
